vis_000_intl, state, lga_code18, vis_000_tot, avg_spend_per_night_aud_intl, nights_000_intl, nights_000_tot, avg_spend_commercial_accom_per_night_aud_intl, avg_spend_per_night_aud_tot, spend_audm_dom_day, avg_spend_per_night_aud_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_tot, spend_audm_intl, avg_spend_per_trip_aud_tot, avg_spend_per_trip_aud_dom_ovrnt, spend_audm_dom_ovrnt, avg_spend_per_trip_aud_intl, avg_stay_nights_tot, vis_000_dom_day, avg_stay_nights_intl, avg_stay_nights_dom_ovrnt, nights_000_dom_ovrnt, vis_000_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_dom_ovrnt, spend_audm_tot, avg_spend_per_trip_aud_dom_day, lga_name18
49,"Tasmania","62410",550,156,121,836,167,123,17,117,174,19,4602,3312,84,2611,3,223,2,3,715,278,175,119,13283,"Glamorgan/Spring Bay (M)"
5,"New South Wales","17000",454,48,108,581,99,175,26,204,201,5,3544,1629,97,1046,4,292,20,3,473,157,220,128,11020,"Singleton (A)"
22,"Victoria","25490",330,119,75,598,164,213,7,227,207,9,2463,1497,118,2492,3,131,3,3,523,177,211,134,19444,"Moyne (S)"
null,"Victoria","21670",null,null,null,null,null,null,18,92,null,null,null,4759,17,null,null,170,null,2,186,81,140,null,9619,"Central Goldfields (S)"
126,"Queensland","36720",6698,78,1660,8924,105,159,415,178,181,129,3649,1672,1292,982,4,4410,13,3,7264,2161,195,1836,10634,"Sunshine Coast (R)"
11,"New South Wales","13800",989,69,174,674,115,108,53,122,165,12,7858,3239,61,892,3,782,16,3,500,197,182,126,14692,"Hawkesbury (C)"
47,"Western Australia","51260",1650,84,403,3173,103,158,74,169,211,34,2868,1869,467,1406,3,729,9,3,2770,874,228,575,9832,"Busselton (C)"
26,"Victoria","27450",3022,71,300,1322,108,144,216,165,233,21,7442,2515,169,1200,3,2573,12,2,1022,424,257,406,11898,"Yarra Ranges (S)"
15,"Western Australia","57280",null,50,171,1296,74,120,null,131,139,9,null,1180,147,1720,7,null,12,6,1124,174,161,null,null,"Port Hedland (T)"
2,"South Australia","44210",492,91,14,552,null,93,19,93,null,1,7011,4085,50,1844,3,284,6,3,538,205,149,70,15224,"Mid Murray (DC)"
4,"New South Wales","14870",535,61,56,484,89,127,24,136,171,3,6260,3031,58,1287,3,355,13,2,427,176,182,85,14797,"Lithgow (C)"
20,"New South Wales","11730",1088,45,114,2194,70,118,46,122,147,5,3577,2241,253,3964,4,501,6,4,2080,567,150,304,10843,"Clarence Valley (A)"
null,"Victoria","26430",null,null,null,null,null,null,18,109,null,null,null,4062,33,null,null,172,null,2,297,132,166,null,9581,"Strathbogie (S)"
5,"Queensland","33980",525,24,84,1740,84,64,18,66,155,2,4070,3404,109,2466,5,149,17,4,1656,371,158,129,8313,"Isaac (R)"
null,"New South Wales","15650",null,null,null,null,null,null,18,114,null,null,null,3696,31,null,null,188,null,2,276,116,177,null,10332,"Muswellbrook (A)"
11,"New South Wales","11720",1062,58,81,1062,99,246,80,261,327,5,3114,1725,257,2449,2,608,7,2,982,443,334,341,7616,"Cessnock (C)"
10,"South Australia","46300",224,75,42,458,93,121,29,125,169,3,2662,2389,52,3043,3,90,4,3,416,124,179,84,3114,"Port Lincoln (C)"
null,"New South Wales","10650",null,null,null,null,null,null,null,109,null,null,null,3554,34,null,null,null,null,3,314,121,150,null,null,"Berrigan (A)"
null,"South Australia","43790",null,null,null,null,null,null,9,88,null,null,null,4313,18,null,null,98,null,3,205,78,141,null,11310,"Loxton Waikerie (DC)"
19,"Western Australia","55180",356,63,173,788,72,120,19,136,155,11,3145,2471,84,1789,3,130,9,3,615,206,184,113,6933,"Manjimup (S)"
5,"Queensland","32310",354,35,38,460,54,102,15,108,149,1,5680,3205,46,3946,3,202,7,3,422,147,155,62,13247,"Charters Towers (R)"
6,"Victoria","25710",338,85,132,350,null,101,17,110,null,11,6439,2953,24,580,5,261,20,3,218,71,null,53,15038,"Nillumbik (S)"
46,"Western Australia","50080",823,69,327,1640,83,187,67,216,164,23,2203,1457,284,2038,4,364,7,3,1313,413,184,374,5397,"Albany (C)"
13,"Tasmania","61610",506,55,168,719,55,101,32,116,118,9,4840,2673,64,1403,4,323,13,3,551,170,146,105,10209,"Devonport (C)"
199,"New South Wales","11350",2033,67,1443,4334,72,154,100,198,191,97,2645,1447,571,2055,4,1007,7,3,2891,826,260,769,10023,"Byron (A)"
2,"Victoria","21010",279,91,29,313,null,97,13,97,null,3,6481,4170,28,801,3,161,14,2,284,115,155,43,12656,"Benalla (RC)"
5,"Victoria","23350",501,56,36,551,71,143,22,150,186,2,4957,2746,77,2354,3,285,8,2,514,211,190,101,12915,"Indigo (S)"
25,"Victoria","20570",2551,66,326,1602,102,132,193,149,196,22,6307,3258,190,1146,2,1906,13,2,1276,620,217,404,9901,"Ballarat (C)"
52,"Victoria","22750",4332,100,821,3740,135,134,282,143,167,82,5544,2686,417,633,3,3160,16,3,2919,1120,178,781,11202,"Greater Geelong (C)"
9,"Victoria","20110",688,51,83,1415,64,154,19,160,194,4,2915,1978,213,2036,3,258,10,3,1332,421,201,236,13723,"Alpine (S)"
39,"Victoria","22110",1229,54,174,2336,72,104,46,108,134,9,4249,2988,234,4150,3,490,4,3,2162,700,140,289,10751,"East Gippsland (S)"
3,"Queensland","30370",279,31,39,454,null,144,14,155,null,1,3503,2102,64,2482,3,141,13,3,415,135,173,80,9957,"Banana (S)"
40,"Victoria","25340",5487,73,408,4310,131,112,330,116,191,30,6738,3018,454,1348,3,4075,10,3,3902,1371,196,814,12343,"Mornington Peninsula (S)"
3,"New South Wales","17400",null,37,29,299,null,110,null,118,null,1,null,3602,32,2709,3,null,10,2,270,115,148,null,null,"Tenterfield (A)"
10,"New South Wales","14350",540,62,44,1295,70,102,21,104,120,3,3515,2322,130,3723,4,228,4,4,1251,301,122,154,10836,"Kempsey (A)"
13,"Western Australia","54280",296,54,189,951,71,186,28,219,164,10,1445,1131,167,1253,5,95,15,4,762,188,180,205,3363,"Kalgoorlie/Boulder (C)"
3,"Victoria","25430",607,66,26,410,null,103,30,106,null,2,8406,4236,41,1782,2,432,9,2,384,172,154,72,14445,"Mount Alexander (S)"
47,"Queensland","32260",596,84,340,1000,92,112,33,127,121,28,4112,2453,84,1663,4,344,7,3,660,205,145,145,10471,"Cassowary Coast (R)"
30,"New South Wales","10550",891,58,181,2160,83,152,53,160,160,11,2342,1547,317,2845,4,370,6,4,1979,490,165,380,7002,"Bega Valley (A)"
3,"Tasmania","61810",210,105,8,199,null,167,9,170,null,1,5009,2271,32,3491,3,134,3,3,191,74,265,42,15330,"Dorset (M)"
7,"Western Australia","53920",null,91,25,179,82,188,null,204,168,2,null,1717,31,3237,3,null,3,3,154,54,193,null,null,"Halls Creek (S)"
226,"Queensland","37340",1048,147,1334,3730,160,202,36,232,222,196,1329,953,557,1154,5,291,6,5,2396,531,265,789,8094,"Whitsunday (R)"
3,"South Australia","46670",206,30,122,391,29,100,15,132,111,4,3809,2832,36,790,4,103,43,3,269,101,159,54,6858,"Renmark Paringa (DC)"
null,"New South Wales","13550",null,null,null,null,null,null,8,123,null,null,null,3217,29,null,null,92,null,3,238,94,195,null,10958,"Gunnedah (A)"
155,"Queensland","35740",2201,94,939,4536,103,174,110,195,217,88,2449,1262,701,1767,4,1160,6,4,3597,885,246,899,10593,"Noosa (S)"
20,"Victoria","22170",991,64,519,902,109,92,65,131,143,33,6659,2994,50,595,5,821,26,3,383,150,195,149,12535,"Frankston (C)"
13,"New South Wales","14400",1106,65,100,911,89,135,58,144,190,6,6093,2766,117,1971,3,771,8,3,811,322,200,181,13182,"Kiama (A)"
7,"Victoria","24130",1127,44,109,665,null,111,61,124,null,5,8394,3450,69,1531,3,882,15,2,555,238,178,134,14574,"Macedon Ranges (S)"
3,"Tasmania","64610",231,310,16,134,null,910,18,990,null,5,1654,434,117,631,2,177,5,2,119,51,169,140,9981,"Northern Midlands (M)"
23,"Tasmania","65610",210,402,46,468,466,194,8,171,251,19,2121,2121,72,1265,3,33,2,3,421,153,223,99,4086,"West Coast (M)"
13,"New South Wales","18350",1744,66,163,1121,84,148,119,162,236,11,6120,2966,155,1178,2,1272,13,2,958,460,250,285,10663,"Wingecarribee (A)"
4,"New South Wales","16900",434,47,93,325,null,152,42,194,null,4,4757,1999,45,953,3,340,23,3,231,90,167,91,8103,"Shellharbour (C)"
8,"New South Wales","16150",1016,37,108,1186,63,155,89,167,237,4,3729,2142,180,1889,3,623,14,3,1078,385,250,272,7027,"Orange (C)"
159,"Northern Territory","72330",493,362,467,1182,395,298,9,256,353,169,1364,1160,183,939,3,122,3,3,715,213,321,362,13280,"MacDonnell (R)"
5,"New South Wales","15050",678,25,170,517,null,92,56,125,null,4,6534,3267,43,1115,4,531,35,2,347,142,188,104,9481,"Maitland (C)"
23,"Victoria","26170",974,76,96,1150,72,96,37,98,132,7,6592,3784,103,3117,3,561,4,3,1054,390,137,148,15047,"South Gippsland (S)"
9,"Victoria","21370",1064,64,110,1334,73,136,67,142,184,7,4295,2744,174,1309,3,577,12,3,1224,478,196,248,8672,"Campaspe (S)"
37,"Victoria","25810",528,62,98,742,74,125,20,134,154,6,4709,3078,86,6135,2,225,3,2,643,266,168,112,11446,"Northern Grampians (S)"
106,"New South Wales","10900",3391,99,495,2224,127,157,218,174,243,49,5976,2557,300,2154,3,2517,5,2,1730,768,271,567,11551,"Blue Mountains (C)"
2,"South Australia","41560",431,46,51,593,null,93,23,97,null,2,5541,3485,53,968,3,245,22,3,542,184,129,78,10805,"Copper Coast (DC)"
92,"Western Australia","50280",1118,96,545,2452,113,167,65,187,207,52,2357,1728,357,1764,3,409,6,3,1908,617,235,474,6295,"Augusta-Margaret River (S)"
7,"South Australia","41830",null,49,34,340,64,111,null,118,151,2,null,2575,36,4056,3,null,5,3,306,93,161,null,null,"Flinders Ranges (DC)"
